#major: Number of major-isoform introns.
#minor: Number of minor-isoform introns.
#unclassified: Number of unclassified introns.
#sequencing_depth: Median per-base read coverage across BUSCO genes from eukaryota gene set.
#no_compiled_rna_seq: Number of sub-sampled RNA-seq.
#replicate: Replicates number.
#samples: SRA Accession of the RNA-seq samples studied.
major	minor	unclassified	sequencing_depth	no_compiled_rna_seq	replicate	samples
17274	10065	14571	11.1752620545073	1	1	SRR6055359
5480	3259	21883	4.13989330171903	1	2	SRR6055360
15757	9143	15997	9.65058823529412	1	3	SRR6055361
5474	3140	22692	4.25993133889161	1	4	SRR6055362
8076	3666	22312	4.78312537136067	1	5	SRR6055363
16479	8941	15677	9.99175597691674	1	6	SRR6055364
8350	4143	21829	4.73076923076923	1	7	SRR6055365
6994	3760	22013	5.30101102941176	1	8	SRR6055366
7634	3729	21847	4.44952178533475	1	9	SRR6055367
7320	3829	22162	6.2892295280355	1	10	SRR6055368
7319	3866	21890	4.32234432234432	1	11	SRR6055369
16490	9830	15459	9.77487352445194	1	12	SRR6055370
16949	9439	15021	10.8259493670886	1	13	SRR6055371
17963	9063	14736	11.3921370967742	1	14	SRR6055372
18202	9651	14032	11.6106376726418	1	15	SRR6055373
15350	7762	16250	9.55526315789474	1	16	SRR6055374
5497	3034	22362	4.32300163132137	1	17	SRR6055375
7070	3331	22472	4.19364282726893	1	18	SRR6055376
15431	9358	15983	9.55760368663594	1	19	SRR6055377
15532	9297	15854	9.69176136363636	1	20	SRR6055378
8849	4540	21611	5.47570332480818	1	21	SRR6055379
18002	9285	14589	12.3785337805462	1	22	SRR6055380
7473	3618	22080	4.66394779771615	1	23	SRR6055381
15133	8568	15873	9.14620217018846	1	24	SRR6055382
5572	3105	22448	4.38827838827839	1	25	SRR6055383
15020	8316	16687	8.94893985287754	1	26	SRR6055384
18077	9780	13922	11.8143342601174	1	27	SRR6055385
16081	8347	15658	9.16763005780347	1	28	SRR6055386
4637	2684	22210	3.80957683741648	1	29	SRR6055387
7199	3642	21856	4.17764705882353	1	30	SRR6055388
14	0	2400	0.0451285116557083	1	31	SRR6055389
5350	2979	22319	4.47374343585896	1	32	SRR6055390
9672	3829	24783	7.98554077501446	1	33	SRR6055391
13129	5480	23204	10.1717259323504	1	34	SRR6055392
11167	5160	24230	7.53566121842496	1	35	SRR6055393
13542	5622	22913	11.3036762434353	1	36	SRR6055394
11662	5418	24008	7.65140200084543	1	37	SRR6055395
15896	6648	21066	12.6445497630332	1	38	SRR6055396
12858	5316	23679	9.68944099378882	1	39	SRR6055397
10888	5109	24385	7.89581478183437	1	40	SRR6055398
11816	5304	24136	9.05528989838613	1	41	SRR6055399
15627	7694	21417	13.4280923994039	1	42	SRR6055400
13147	5392	23687	10.7540250447227	1	43	SRR6055401
11656	5519	24701	8.11147186147186	1	44	SRR6055402
15155	6923	21731	12.8439531859558	1	45	SRR6055403
11163	4688	24225	8.22477995937712	1	46	SRR6055404
13008	5207	23267	10.0021638330757	1	47	SRR6055405
8608	3650	25538	6.79620853080569	1	48	SRR6055406
13943	5643	23232	9.96174220129488	1	49	SRR6055407
